lat,lon,crs,total
-89.5,105.5,b'',-44.399075
-89.5,106.5,b'',-44.392628
-89.5,107.5,b'',-44.389046
-89.5,108.5,b'',-44.37986
-89.5,109.5,b'',-44.37061
-89.5,110.5,b'',-44.36881
-89.5,111.5,b'',-44.359436
-89.5,112.5,b'',-44.353935
-89.5,113.5,b'',-44.347286
-89.5,114.5,b'',-44.33686
-89.5,115.5,b'',-44.332733
-89.5,116.5,b'',-44.32225
-89.5,117.5,b'',-44.30182
-89.5,118.5,b'',-44.2934
-89.5,119.5,b'',-44.27793
-89.5,120.5,b'',-44.265747
-89.5,121.5,b'',-44.263496
-89.5,122.5,b'',-44.25894
-89.5,123.5,b'',-44.240345
-89.5,124.5,b'',-44.232414
-89.5,125.5,b'',-44.21341
-89.5,126.5,b'',-44.213562
-89.5,127.5,b'',-44.205963
-89.5,128.5,b'',-44.187553
-89.5,129.5,b'',-44.174587
-89.5,130.5,b'',-44.16467
-89.5,131.5,b'',-44.146336
-89.5,132.5,b'',-44.138657
-89.5,133.5,b'',-44.116486
-89.5,134.5,b'',-44.073265
-89.5,135.5,b'',-44.047646
-89.5,136.5,b'',-44.018887
-89.5,137.5,b'',-44.0005
-89.5,138.5,b'',-43.98892
-89.5,139.5,b'',-43.96041
-89.5,140.5,b'',-43.950172
-89.5,141.5,b'',-43.94364
-89.5,142.5,b'',-43.91815
-89.5,143.5,b'',-43.90142
-89.5,144.5,b'',-43.88646
-89.5,145.5,b'',-43.855522
-89.5,146.5,b'',-43.853287
-89.5,147.5,b'',-43.827705
-89.5,148.5,b'',-43.81195
-89.5,149.5,b'',-43.786854
-89.5,150.5,b'',-43.77114
-89.5,151.5,b'',-43.742344
-89.5,152.5,b'',-43.718998
-89.5,153.5,b'',-43.66383
-89.5,154.5,b'',-43.635223
-89.5,155.5,b'',-43.617874
-89.5,156.5,b'',-43.593357
-89.5,157.5,b'',-43.57285
-89.5,158.5,b'',-43.566418
-89.5,159.5,b'',-43.53959
-89.5,160.5,b'',-43.533825
-89.5,161.5,b'',-43.510155
-89.5,162.5,b'',-43.47963
-89.5,163.5,b'',-43.46685
-89.5,164.5,b'',-43.458515
-89.5,165.5,b'',-43.432995
-89.5,166.5,b'',-43.41733
-89.5,167.5,b'',-43.387104
-89.5,168.5,b'',-43.373344
-89.5,169.5,b'',-43.360043
-89.5,170.5,b'',-43.326824
-89.5,171.5,b'',-43.242287
-89.5,172.5,b'',-43.222126
-89.5,173.5,b'',-43.18928
-89.5,174.5,b'',-43.172405
-89.5,175.5,b'',-43.148594
-89.5,176.5,b'',-43.119606
-89.5,177.5,b'',-43.102993
-89.5,178.5,b'',-43.086494
-89.5,179.5,b'',-43.051277
-88.5,-179.5,b'',-42.279152
-88.5,-178.5,b'',-42.22047
-88.5,-177.5,b'',-42.18066
-88.5,-176.5,b'',-42.120705
-88.5,-175.5,b'',-42.074127
-88.5,-174.5,b'',-41.99901
-88.5,-173.5,b'',-41.945038
-88.5,-172.5,b'',-41.86596
-88.5,-171.5,b'',-41.83112
-88.5,-170.5,b'',-41.728325
-88.5,-169.5,b'',-41.68365
-88.5,-168.5,b'',-41.62536
-88.5,-167.5,b'',-41.597015
-88.5,-166.5,b'',-41.536705
-88.5,-165.5,b'',-41.502304
-88.5,-164.5,b'',-41.46694
-88.5,-163.5,b'',-41.439453
-88.5,-162.5,b'',-41.415237
-88.5,-161.5,b'',-41.372566
-88.5,-160.5,b'',-41.339546
-88.5,-159.5,b'',-41.31552
-88.5,-158.5,b'',-41.26063
-88.5,-157.5,b'',-41.22797
