lat,lon,crs,total
-89.5,34.5,b'',0.22004072
-89.5,35.5,b'',0.21968977
-89.5,36.5,b'',0.21961896
-89.5,37.5,b'',0.2193892
-89.5,38.5,b'',0.21923989
-89.5,39.5,b'',0.21897522
-89.5,40.5,b'',0.21883264
-89.5,41.5,b'',0.21847409
-89.5,42.5,b'',0.21862613
-89.5,43.5,b'',0.21844758
-89.5,44.5,b'',0.21836933
-89.5,45.5,b'',0.21724963
-89.5,46.5,b'',0.21516103
-89.5,47.5,b'',0.21233806
-89.5,48.5,b'',0.21196017
-89.5,49.5,b'',0.21151553
-89.5,50.5,b'',0.21134906
-89.5,51.5,b'',0.21081589
-89.5,52.5,b'',0.21071249
-89.5,53.5,b'',0.21036059
-89.5,54.5,b'',0.21021263
-89.5,55.5,b'',0.20972483
-89.5,56.5,b'',0.2097195
-89.5,57.5,b'',0.20926072
-89.5,58.5,b'',0.20922646
-89.5,59.5,b'',0.20872144
-89.5,60.5,b'',0.20877694
-89.5,61.5,b'',0.2084403
-89.5,62.5,b'',0.20844133
-89.5,63.5,b'',0.20793585
-89.5,64.5,b'',0.20227976
-89.5,65.5,b'',0.20040582
-89.5,66.5,b'',0.19915903
-89.5,67.5,b'',0.19849218
-89.5,68.5,b'',0.19844776
-89.5,69.5,b'',0.19804741
-89.5,70.5,b'',0.19792505
-89.5,71.5,b'',0.19751154
-89.5,72.5,b'',0.19749598
-89.5,73.5,b'',0.197138
-89.5,74.5,b'',0.1970906
-89.5,75.5,b'',0.19687515
-89.5,76.5,b'',0.19690923
-89.5,77.5,b'',0.1967145
-89.5,78.5,b'',0.19655842
-89.5,79.5,b'',0.19612765
-89.5,80.5,b'',0.19637494
-89.5,81.5,b'',0.19643404
-89.5,82.5,b'',0.19385223
-89.5,83.5,b'',0.19262056
-89.5,84.5,b'',0.19242045
-89.5,85.5,b'',0.19230369
-89.5,86.5,b'',0.1924542
-89.5,87.5,b'',0.1923794
-89.5,88.5,b'',0.19264914
-89.5,89.5,b'',0.19279103
-89.5,90.5,b'',0.19292715
-89.5,91.5,b'',0.19288969
-89.5,92.5,b'',0.19310434
-89.5,93.5,b'',0.19319554
-89.5,94.5,b'',0.19351462
-89.5,95.5,b'',0.19351774
-89.5,96.5,b'',0.19356392
-89.5,97.5,b'',0.19372346
-89.5,98.5,b'',0.19390579
-89.5,99.5,b'',0.19387965
-89.5,100.5,b'',0.19361512
-89.5,101.5,b'',0.19325219
-89.5,102.5,b'',0.19378467
-89.5,103.5,b'',0.19428645
-89.5,104.5,b'',0.194691
-89.5,105.5,b'',0.19499852
-89.5,106.5,b'',0.19535361
-89.5,107.5,b'',0.19568315
-89.5,108.5,b'',0.196062
-89.5,109.5,b'',0.19645531
-89.5,110.5,b'',0.19675443
-89.5,111.5,b'',0.19728206
-89.5,112.5,b'',0.197522
-89.5,113.5,b'',0.1978595
-89.5,114.5,b'',0.19827823
-89.5,115.5,b'',0.19870663
-89.5,116.5,b'',0.19887139
-89.5,117.5,b'',0.19936584
-89.5,118.5,b'',0.19950756
-89.5,119.5,b'',0.19993486
-89.5,120.5,b'',0.20006639
-89.5,121.5,b'',0.20052797
-89.5,122.5,b'',0.20081274
-89.5,123.5,b'',0.2013348
-89.5,124.5,b'',0.20144455
-89.5,125.5,b'',0.20207037
-89.5,126.5,b'',0.2022922
-89.5,127.5,b'',0.20273267
-89.5,128.5,b'',0.20306125
-89.5,129.5,b'',0.20352402
-89.5,130.5,b'',0.2038759
-89.5,131.5,b'',0.20472708
-89.5,132.5,b'',0.205026
-89.5,133.5,b'',0.20554084
-89.5,134.5,b'',0.20593402
-89.5,135.5,b'',0.20654973
-89.5,136.5,b'',0.20752932
-89.5,137.5,b'',0.20872067
-89.5,138.5,b'',0.20899329
-89.5,139.5,b'',0.20966446
-89.5,140.5,b'',0.2099344
-89.5,141.5,b'',0.21051265
-89.5,142.5,b'',0.21085815
-89.5,143.5,b'',0.21145739
-89.5,144.5,b'',0.21162358
-89.5,145.5,b'',0.21258311
-89.5,146.5,b'',0.21286702
-89.5,147.5,b'',0.21373276
-89.5,148.5,b'',0.21411712
-89.5,149.5,b'',0.21488625
-89.5,150.5,b'',0.21532345
-89.5,151.5,b'',0.21653101
-89.5,152.5,b'',0.21673255
-89.5,153.5,b'',0.21786326
-89.5,154.5,b'',0.22109708
-89.5,155.5,b'',0.22256659
-89.5,156.5,b'',0.22368109
-89.5,157.5,b'',0.22446999
-89.5,158.5,b'',0.22485101
-89.5,159.5,b'',0.22570156
-89.5,160.5,b'',0.2260318
-89.5,161.5,b'',0.22668725
-89.5,162.5,b'',0.22753821
-89.5,163.5,b'',0.22834696
-89.5,164.5,b'',0.22884054
-89.5,165.5,b'',0.22980775
-89.5,166.5,b'',0.23053956
-89.5,167.5,b'',0.23152375
-89.5,168.5,b'',0.23271069
-89.5,169.5,b'',0.23509288
-89.5,170.5,b'',0.23870847
-89.5,171.5,b'',0.24140893
-89.5,172.5,b'',0.24689992
-89.5,173.5,b'',0.25007662
-89.5,174.5,b'',0.2512855
-89.5,175.5,b'',0.252302
-89.5,176.5,b'',0.25282905
-89.5,177.5,b'',0.25358602
-89.5,178.5,b'',0.25401905
-89.5,179.5,b'',0.25476614
-88.5,-179.5,b'',0.25364262
-88.5,-178.5,b'',0.25567645
-88.5,-177.5,b'',0.25705007
-88.5,-176.5,b'',0.2588401
-88.5,-175.5,b'',0.26118016
-88.5,-174.5,b'',0.26387253
-88.5,-173.5,b'',0.2661681
-88.5,-172.5,b'',0.26923916
-88.5,-171.5,b'',0.27153942
-88.5,-170.5,b'',0.274103
-88.5,-169.5,b'',0.27781093
-88.5,-168.5,b'',0.28340873
-88.5,-167.5,b'',0.2857806
-88.5,-166.5,b'',0.28858042
-88.5,-165.5,b'',0.2897628
-88.5,-164.5,b'',0.2926827
-88.5,-163.5,b'',0.2945583
-88.5,-162.5,b'',0.29724157
-88.5,-161.5,b'',0.29854786
-88.5,-160.5,b'',0.3030137
-88.5,-159.5,b'',0.30441493
-88.5,-158.5,b'',0.3078631
-88.5,-157.5,b'',0.3091275
