lat,lon,crs,total
-88.5,-25.5,b'',3.1946504
-88.5,-24.5,b'',3.1954017
-88.5,-23.5,b'',3.195753
-88.5,-22.5,b'',3.1955323
-88.5,-21.5,b'',3.1972084
-88.5,-20.5,b'',3.2000391
-88.5,-19.5,b'',3.1989899
-88.5,-18.5,b'',3.1967864
-88.5,-17.5,b'',3.2039046
-88.5,-16.5,b'',3.2060215
-88.5,-15.5,b'',3.2080445
-88.5,-14.5,b'',3.2087817
-88.5,-13.5,b'',3.205356
-88.5,-12.5,b'',3.2092266
-88.5,-11.5,b'',3.211589
-88.5,-10.5,b'',3.2068014
-88.5,-9.5,b'',3.2046864
-88.5,-8.5,b'',3.2053344
-88.5,-7.5,b'',3.2083628
-88.5,-6.5,b'',3.202445
-88.5,-5.5,b'',3.1990185
-88.5,-4.5,b'',3.1999414
-88.5,-3.5,b'',3.2060983
-88.5,-2.5,b'',3.2088935
-88.5,-1.5,b'',3.2084827
-88.5,-0.5,b'',3.2085953
-88.5,0.5,b'',3.2084024
-88.5,1.5,b'',3.2118664
-88.5,2.5,b'',3.2172983
-88.5,3.5,b'',3.2136052
-88.5,4.5,b'',3.2129939
-88.5,5.5,b'',3.2126877
-88.5,6.5,b'',3.2102985
-88.5,7.5,b'',3.212087
-88.5,8.5,b'',3.219871
-88.5,9.5,b'',3.2176006
-88.5,10.5,b'',3.2156146
-88.5,11.5,b'',3.2161407
-88.5,12.5,b'',3.2197657
-88.5,13.5,b'',3.2186465
-88.5,14.5,b'',3.2147694
-88.5,15.5,b'',3.2172801
-88.5,16.5,b'',3.2247748
-88.5,17.5,b'',3.2228107
-88.5,18.5,b'',3.2194462
-88.5,19.5,b'',3.2164536
-88.5,20.5,b'',3.21653
-88.5,21.5,b'',3.219014
-88.5,22.5,b'',3.2127895
-88.5,23.5,b'',3.2102447
-88.5,24.5,b'',3.2102828
-88.5,25.5,b'',3.2109172
-88.5,26.5,b'',3.2136374
-88.5,27.5,b'',3.2149022
-88.5,28.5,b'',3.2183511
-88.5,29.5,b'',3.2199686
-88.5,30.5,b'',3.2229283
-88.5,31.5,b'',3.2278457
-88.5,32.5,b'',3.2281027
-88.5,33.5,b'',3.2279015
-88.5,34.5,b'',3.2244706
-88.5,35.5,b'',3.223935
-88.5,36.5,b'',3.2261498
-88.5,37.5,b'',3.2305448
-88.5,38.5,b'',3.2336977
-88.5,39.5,b'',3.2350836
-88.5,40.5,b'',3.236189
-88.5,41.5,b'',3.2395315
-88.5,42.5,b'',3.2430298
-88.5,43.5,b'',3.246344
-88.5,44.5,b'',3.2449062
-88.5,45.5,b'',3.2464473
-88.5,46.5,b'',3.253885
-88.5,47.5,b'',3.2538362
-88.5,48.5,b'',3.2549796
-88.5,49.5,b'',3.2540655
-88.5,50.5,b'',3.2535152
-88.5,51.5,b'',3.2547984
-88.5,52.5,b'',3.2553842
-88.5,53.5,b'',3.2624533
-88.5,54.5,b'',3.2622178
-88.5,55.5,b'',3.2619674
-88.5,56.5,b'',3.2623463
-88.5,57.5,b'',3.265073
-88.5,58.5,b'',3.2701132
-88.5,59.5,b'',3.2673273
-88.5,60.5,b'',3.2670689
-88.5,61.5,b'',3.2702332
-88.5,62.5,b'',3.2749567
-88.5,63.5,b'',3.2721655
-88.5,64.5,b'',3.2767859
-88.5,65.5,b'',3.281056
-88.5,66.5,b'',3.285105
-88.5,67.5,b'',3.2910168
-88.5,68.5,b'',3.2879272
-88.5,69.5,b'',3.2961426
-88.5,70.5,b'',3.30131
-88.5,71.5,b'',3.304378
-88.5,72.5,b'',3.3069243
-88.5,73.5,b'',3.3051295
-88.5,74.5,b'',3.305759
-88.5,75.5,b'',3.3093016
-88.5,76.5,b'',3.3116295
-88.5,77.5,b'',3.3172972
-88.5,78.5,b'',3.3208547
-88.5,79.5,b'',3.3253298
-88.5,80.5,b'',3.3269129
-88.5,81.5,b'',3.3312073
-88.5,82.5,b'',3.3388748
-88.5,83.5,b'',3.3402526
